,Planet Name,Host Name,Number of Stars,Number of Planets,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Spectral Type,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc
0,TRAPPIST-1 b,TRAPPIST-1,1,7,1.510826,6e-06,-6e-06,0.01154,0.0001,-0.0001,1.116,0.014,-0.012,,,,4.15,0.16,-0.16,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
1,TRAPPIST-1 c,TRAPPIST-1,1,7,2.421937,1.8e-05,-1.8e-05,0.0158,0.00013,-0.00013,1.097,0.014,-0.012,,,,2.21,0.09,-0.09,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
2,TRAPPIST-1 d,TRAPPIST-1,1,7,4.049219,2.6e-05,-2.6e-05,0.02227,0.00019,-0.00019,0.788,0.011,-0.01,,,,1.11,0.04,-0.04,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
3,TRAPPIST-1 e,TRAPPIST-1,1,7,6.101013,3.5e-05,-3.5e-05,0.02925,0.0025,-0.0025,0.92,0.013,-0.012,,,,0.65,0.03,-0.03,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
4,TRAPPIST-1 f,TRAPPIST-1,1,7,9.20754,3.2e-05,-3.2e-05,0.03849,0.00033,-0.00033,1.045,0.013,-0.012,,,,0.37,0.01,-0.01,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
5,TRAPPIST-1 g,TRAPPIST-1,1,7,12.352446,5.4e-05,-5.4e-05,0.04683,0.0004,-0.0004,1.129,0.015,-0.013,,,,0.25,0.01,-0.01,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
6,TRAPPIST-1 h,TRAPPIST-1,1,7,18.772866,0.000214,-0.000214,0.06189,0.00053,-0.00053,0.755,0.014,-0.014,,,,0.14,0.01,-0.01,,,,,2566.0,26.0,-26.0,0.12,0.0,0.0,0.09,0.0,0.0,-3.257,0.015,-0.015,5.24,0.01,-0.01,346.6263919,-5.0434618,,,
